game_id,home_team,away_team,season_type,week,stadium,roof,surface,temp,wind,home_win
2019_01_ATL_MIN,MIN,ATL,REG,1,U.S. Bank Stadium,dome,sportturf,,,0
2019_01_BAL_MIA,MIA,BAL,REG,1,Hard Rock Stadium,outdoors,grass,91.0,8.0,0
2019_01_BUF_NYJ,NYJ,BUF,REG,1,MetLife Stadium,outdoors,fieldturf,77.0,6.0,1
2019_01_CIN_SEA,SEA,CIN,REG,1,Lumen Field,outdoors,fieldturf,64.0,7.0,0
2019_01_DEN_OAK,LV,DEN,REG,1,Oakland-Alameda County Stadium,outdoors,grass,68.0,15.0,1
2019_01_DET_ARI,ARI,DET,REG,1,State Farm Stadium,closed,grass,,,0
2019_01_GB_CHI,CHI,GB,REG,1,Soldier Field,outdoors,grass,65.0,10.0,0
2019_01_HOU_NO,NO,HOU,REG,1,Caesars Superdome,dome,astroturf,,,0
2019_01_IND_LAC,LAC,IND,REG,1,ROKiT Field - Dignity Health Sports Park,outdoors,grass,77.0,10.0,1
2019_01_KC_JAX,JAX,KC,REG,1,EverBank Stadium,outdoors,grass,91.0,6.0,0
2019_01_LA_CAR,CAR,LA,REG,1,Bank of America Stadium,outdoors,grass,87.0,3.0,0
2019_01_NYG_DAL,DAL,NYG,REG,1,AT&T Stadium,closed,fieldturf,,,1
2019_01_PIT_NE,NE,PIT,REG,1,Gillette Stadium,outdoors,grass,66.0,2.0,1
2019_01_SF_TB,TB,SF,REG,1,Raymond James Stadium,outdoors,grass,93.0,9.0,0
2019_01_TEN_CLE,CLE,TEN,REG,1,Cleveland Browns Stadium,outdoors,grass,71.0,10.0,0
2019_01_WAS_PHI,PHI,WAS,REG,1,Lincoln Financial Field,outdoors,grass,79.0,4.0,1
2019_02_ARI_BAL,BAL,ARI,REG,2,M&T Bank Stadium,outdoors,grass,82.0,8.0,1
2019_02_BUF_NYG,NYG,BUF,REG,2,MetLife Stadium,outdoors,fieldturf,79.0,5.0,0
2019_02_CHI_DEN,DEN,CHI,REG,2,Empower Field at Mile High,outdoors,grass,87.0,3.0,0
2019_02_CLE_NYJ,NYJ,CLE,REG,2,MetLife Stadium,outdoors,fieldturf,72.0,3.0,0
2019_02_DAL_WAS,WAS,DAL,REG,2,Commanders Field,outdoors,grass,80.0,7.0,0
2019_02_IND_TEN,TEN,IND,REG,2,Nissan Stadium,outdoors,grass,93.0,1.0,1
2019_02_JAX_HOU,HOU,JAX,REG,2,NRG Stadium,closed,grass,,,1
2019_02_KC_OAK,LV,KC,REG,2,Oakland-Alameda County Stadium,outdoors,grass,70.0,13.0,0
2019_02_LAC_DET,DET,LAC,REG,2,Ford Field,dome,fieldturf,,,0
2019_02_MIN_GB,GB,MIN,REG,2,Lambeau Field,outdoors,grass,72.0,5.0,1
2019_02_NE_MIA,MIA,NE,REG,2,Hard Rock Stadium,outdoors,grass,87.0,4.0,0
2019_02_NO_LA,LA,NO,REG,2,Los Angeles Memorial Coliseum,outdoors,grass,85.0,4.0,1
2019_02_PHI_ATL,ATL,PHI,REG,2,Mercedes-Benz Stadium,open,fieldturf,,,1
